counterid,day_type,month,day_part,sfmta_count
46,weekday,May,early_am,68.5833333333333
46,weekday,June,early_am,71.8333333333333
46,weekday,July,early_am,57.75
46,weekday,August,early_am,65.4166666666667
46,weekday,September,early_am,57.6666666666667
46,weekday,October,early_am,51.8333333333333
46,weekday,November,early_am,52.5833333333333
46,weekday,December,early_am,43.75
46,weekday,January,peak_am,802.5
46,weekday,February,peak_am,717
46,weekday,March,peak_am,847.5
46,weekday,April,peak_am,704.5
46,weekday,May,peak_am,127
46,weekday,June,peak_am,192.4
46,weekday,July,peak_am,208.6
46,weekday,August,peak_am,193.2
46,weekday,September,peak_am,189
46,weekday,October,peak_am,293.833333333333
46,weekday,November,peak_am,165
46,weekday,December,peak_am,220.5
46,weekday,January,mid,434
46,weekday,February,mid,433.2
46,weekday,March,mid,491.5
46,weekday,April,mid,372.1
46,weekday,May,mid,302.7
46,weekday,June,mid,259.1
46,weekday,July,mid,232.3
46,weekday,August,mid,249.2
46,weekday,September,mid,261.3
46,weekday,October,mid,229.4
46,weekday,November,mid,225.5
46,weekday,December,mid,198.9
46,weekday,January,peak_pm,588.375
46,weekday,February,peak_pm,543.5
46,weekday,March,peak_pm,691.25
46,weekday,April,peak_pm,504.875
46,weekday,May,peak_pm,371.75
46,weekday,June,peak_pm,122.4
46,weekday,July,peak_pm,327
46,weekday,August,peak_pm,300.142857142857
46,weekday,September,peak_pm,342.125
46,weekday,October,peak_pm,272.875
46,weekday,November,peak_pm,308.5
46,weekday,December,peak_pm,293.25
46,weekend,January,late_pm,56
46,weekend,February,late_pm,48.4
46,weekend,March,late_pm,38
46,weekend,April,late_pm,41
46,weekend,May,late_pm,28.9
46,weekend,June,late_pm,29.2
46,weekend,July,late_pm,33.8
46,weekend,August,late_pm,21.9
46,weekend,September,late_pm,28.4
46,weekend,October,late_pm,34.6
46,weekend,November,late_pm,22.3
46,weekend,December,late_pm,26.5
46,weekend,January,early_am,26
46,weekend,February,early_am,20.6666666666667
46,weekend,March,early_am,16.25
46,weekend,April,early_am,19.4166666666667
46,weekend,May,early_am,11.25
46,weekend,June,early_am,13.1666666666667
46,weekend,July,early_am,13
46,weekend,August,early_am,9.75
46,weekend,September,early_am,13.6666666666667
46,weekend,October,early_am,12.5
46,weekend,November,early_am,8.33333333333333
46,weekend,December,early_am,12.1666666666667
46,weekend,January,peak_am,59
46,weekend,February,peak_am,63.125
46,weekend,March,peak_am,47.5
46,weekend,April,peak_am,59.25
46,weekend,May,peak_am,47.5
46,weekend,June,peak_am,51.625
46,weekend,July,peak_am,41.875
46,weekend,August,peak_am,30.75
46,weekend,September,peak_am,33.375
46,weekend,October,peak_am,37.75
46,weekend,November,peak_am,28.875
46,weekend,December,peak_am,28.125
46,weekend,January,mid,110.1
46,weekend,February,mid,108.8
46,weekend,March,mid,94.3
46,weekend,April,mid,95.6
